artist,author,gernes,heart,name,star,view,words
Kumoya Yukio,Sancya,"Drama,Romance,School Life,Shoujo,Web Novel,Isekai", 206 ,Konyaku-sha ga Akuyaku de Komatte masu,5,26223,22541
Hisasi,Kineko Shibai,"Comedy,Ecchi,Romance,School Life,Seinen,Slice of Life", 80 ,Netoge no Yome wa Onnanoko ja Nai to Omotta?,5,5335,40821
PurinPurin,Kishi Haiya,"Comedy,Drama,Ecchi,Harem,Romance,School Life,Adapted to Drama CD,Adapted to Manga", 1424 ,Shurabara!,4.9,391842,592863
Noksi,Yoo Han Ryeo,"Comedy,Fantasy,Korean Novel,Mystery,Reverse Harem,Romance,School Life,Shoujo,Slice of Life,Web Novel", 805 ,Luật Của Tiểu Thuyết Mạng,4.9,1781422,1038748
Iwamoto Eiri,616th Special Information Battalion,"Action,Game,Horror,Isekai", 870 ,Joou Heika no Isekai Senryaku,4.9,203398,138971
N/A,A Gentleman Does Not Speak Whilst He Reads,"Action,Adventure,Chinese Novel,Fantasy,Gender Bender,Harem,Isekai,Super Power,Web Novel,Yuri,Drama", 446 ,The Villains Need to Save the World?,4.9,128873,125663
Tomozo,Mishima Yomu,"Action,Adventure,Comedy,Drama,Fantasy,Harem,Romance,Magic", 481 ,Sevens (LN version),4.9,72186,108338
Takehana Note,Seto Meguru,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,School Life,Super Power,Supernatural", 519 ,Ore Dake Irerukakushi Dungeon,4.9,62648,46574
KUMA,Hata Ryousuke,"Action,Adventure,Fantasy,Harem,Shounen,Supernatural", 603 ,Maou Gun Saikyou no Majutsushi wa Ningen datta,4.8,55163,23543
Nardack,Kirie,"Fantasy,Historical,Isekai,Magic,Reverse Harem,Romance,Web Novel", 151 ,Tôi sẽ Biến Mất trong Lặng Lẽ,5,9752,2221
Hidaka Nami (ひだかなみ),Yamaguchi Satoru (山口悟),"Comedy,Fantasy,Harem,Isekai,Shoujo,Shoujo ai,Slice of Life,Romance,Otome Game", 746 ,I reincarnated into an otome game as a villainess with only destruction flags...,5,204624,78137
N/A,请君莫笑,"Action,Adapted to Drama CD,Adapted to Manga,Chinese Novel,Drama,Historical, Military,Romance,Shoujo ai,Yuri,Web Novel", 24 ,Female general and eldest princess,4.7,8637,5484
N/A,Kakei Chisato,"Action,Adventure,Drama,Fantasy,Adapted to Manga,Web Novel", 364 ,Sekai de Tadahitori no Mamono Tsukai: Tenshoku Shitara Maou ni Machigawa Remashita,5,53811,36119
閏月戈 (Uruu Gekka),佐藤真登 (Satou Mato),"Fantasy,Romance,Shoujo,Slice of Life,Shoujo ai,Isekai", 657 ,"Heroine na Imouto, Akuyaku Reijo na Watashi",4.6,220858,148456
N/A,黑猫州长,"Historical,Romance,Supernatural,Tragedy,Chinese Novel", 61 ,Hồ ly không có trái tim,4.9,15032,8206
Masato Hayase,Masato Hayase,"Action,Drama,Horror,Science Fiction", 15 ,S.I.C. Hero Saga Series: Kamen Rider Blade Edition: Day After Tomorrow,5,8052,2954
